evid,prefor,prefmag,etype,timestamp,lat,lon,depth,magnitude,magtype,nsta,nobs,uncertainty
10712853,995753,778253,eq,2007-04-04 18:38:21.63-07,48.8905,-121.9753333,0.482,1.4,d,3,3,0.06
10711563,2466058,2227408,lf,2007-06-05 12:25:58.68-07,48.7325,-121.8563333,-0.98,1.49,l,4,4,0.135
10712468,995368,777968,lf,2007-06-09 16:19:00.64-07,48.7491667,-121.8475,19.323,1.6,d,3,3,0.14
10729683,1012598,790148,lf,2007-07-24 23:35:24.72-07,48.7615,-121.8206667,25.944,1,d,4,4,0.07
10729713,1200513,943308,lf,2007-07-24 23:35:39.52-07,48.79,-121.7823333,35.744,0.78,d,2,2,0.165
10731078,1013993,791068,eq,2007-07-27 04:36:27.5-07,48.6936667,-121.9241667,16.594,1.5,d,2,2,0.12
10725083,1007998,787078,lf,2007-08-12 13:05:29.96-07,48.7426667,-121.7655,30.054,1.9,d,5,5,0.1
10736828,1019743,795018,eq,2007-09-29 12:42:57.65-07,48.7525,-121.6235,0.74,1.6,d,3,3,0.05
10727248,1010163,788528,eq,2007-10-18 08:32:21.03-07,48.9073333,-121.9566667,11.029,-0.1,d,2,2,0.05
10728248,1011163,789148,eq,2007-10-24 00:55:47.43-07,48.8818333,-121.9813333,0.844,0.7,d,2,2,0.05
10737798,1020713,795643,eq,2007-12-25 05:12:28.29-08,48.8463333,-122.0046667,18.109,1.1,d,3,3,0.04
10738483,1021398,796098,eq,2007-12-28 08:42:30.87-08,48.8491667,-122.0338333,21.049,1.8,d,5,5,0.06
10738498,1021413,796108,eq,2007-12-28 08:52:52.34-08,48.8488333,-122.0496667,21.769,1.6,d,2,2,0.07
10738573,1021488,796168,eq,2007-12-28 20:45:44.52-08,48.8751667,-122.024,23.672,1.3,d,3,3,0.06
10738583,1021498,796178,eq,2007-12-28 22:41:35.14-08,48.8533333,-121.9746667,15.602,1.2,d,3,3,0.07
10738668,1021583,796223,eq,2007-12-29 12:26:45.96-08,48.8385,-121.9736667,12.765,1.3,d,2,2,0.06
10738798,1021713,796338,eq,2007-12-29 17:48:41.56-08,48.914,-121.8125,15.599,0.2,d,2,2,0.04
10738598,1021513,796188,eq,2008-01-22 01:37:08.76-08,48.714,-121.512,0.337,1.8,d,5,5,0.05
10738823,1021738,796358,eq,2008-01-22 17:05:01.29-08,48.6786667,-121.5818333,0.446,1.2,d,2,2,0.08
10740898,1023818,797763,eq,2008-01-27 04:44:45.38-08,48.8343333,-122.0408333,14.176,0.8,d,2,2,0.07
