evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10627123,lf,1,5,807268,UW2 Q1=B  Q2=D,2227428,1.15,d,0.366,3,3,2466073,UW,Jiggle,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,0.5,0.03,0.81,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.81,184,0,0.49,,
10660283,lf,1,5,840433,"NEAR:      6.4 km ENE of Mt Baker, WA",2227473,1.49,l,0.411,4,4,2466108,UW,Jiggle,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,0.8,0.24,1.77,1.23,,,0,n,n,n,,,,,,,,,,,1.93,51,23,1.42,273,60,0.8,,
10660283,lf,1,5,840433,4 triggered subnets: 6 7 19 25,2227473,1.49,l,0.411,4,4,2466108,UW,Jiggle,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,0.8,0.24,1.77,1.23,,,0,n,n,n,,,,,,,,,,,1.93,51,23,1.42,273,60,0.8,,
10660283,lf,1,5,840433,EVENT ID: 051437,2227473,1.49,l,0.411,4,4,2466108,UW,Jiggle,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,0.8,0.24,1.77,1.23,,,0,n,n,n,,,,,,,,,,,1.93,51,23,1.42,273,60,0.8,,
10660283,lf,1,5,840433,UW2 Q1=B  Q2=D,2227473,1.49,l,0.411,4,4,2466108,UW,Jiggle,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,0.8,0.24,1.77,1.23,,,0,n,n,n,,,,,,,,,,,1.93,51,23,1.42,273,60,0.8,,
10665323,lf,1,8,1761548,depth hard to constrain,1191853,1.21,d,0.223,4,4,2466103,UW,Jiggle,2005-07-14 21:39:30.82-07,48.7296667,-121.8101667,17.05,1,0.13,0.64,1.45,,,0,n,n,n,,,,,,,,,,,1.48,41,78,0.65,215,11,0.4,,
10671218,lf,1,9,851368,"NEAR:      8.9 km ENE of Mt Baker, WA",993043,0.89,d,0.096,3,3,2466098,UW,Jiggle,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,0.5,0.58,4.2,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.2,240,0,2.23,,
10671218,lf,1,9,851368,binder location:,993043,0.89,d,0.096,3,3,2466098,UW,Jiggle,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,0.5,0.58,4.2,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.2,240,0,2.23,,
10671218,lf,1,9,851368,A 200508020802 37.66 46N1217 122W1175 1.00 8/008 99 1 0.00 DB,993043,0.89,d,0.096,3,3,2466098,UW,Jiggle,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,0.5,0.58,4.2,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.2,240,0,2.23,,
10671218,lf,1,9,851368,UW2 Q1=D  Q2=D,993043,0.89,d,0.096,3,3,2466098,UW,Jiggle,2005-08-02 01:02:38.85-07,48.813,-121.7485,34.02,0.5,0.58,4.2,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,4.2,240,0,2.23,,
