2022-03-16 16:33:54.170000, MBW EHZ UW 01, baker27
2022-04-14 12:48:14.960000, MBW EHZ UW 01, baker27
2022-10-21 17:55:44.730000, MBW EHZ UW 01, baker27
2022-11-07 03:18:40.280000, MBW EHZ UW 01, baker27
2022-12-04 18:51:59.410000, MBW EHZ UW 01, baker27
2023-03-09 19:30:36.980000, MBW EHZ UW 01, baker27
2023-03-30 15:03:12.300000, MBW EHZ UW 01, baker27
2023-10-24 05:59:46.820000, MBW EHZ UW 01, baker27
2024-01-02 00:07:55.960000, MBW EHZ UW 01, baker27
2024-01-30 06:24:45.410000, MBW EHZ UW 01, baker27
2024-03-19 06:57:40.010000, MBW EHZ UW 01, baker27
2025-04-21 12:31:56.080000, MBW EHZ UW 01, baker27
2010-07-04 06:10:33.265900, MBW EHZ UW 01, baker28
2010-07-05 18:03:35.560000, MBW EHZ UW 01, baker28
2010-07-06 13:08:55.071400, MBW EHZ UW 01, baker29
2010-07-06 14:01:39.800600, MBW EHZ UW 01, baker29
2010-07-29 13:20:53.761100, MBW EHZ UW 01, baker30
2010-07-30 23:06:08.200400, MBW EHZ UW 01, baker30
2013-05-22 18:41:53.840000, MBW EHZ UW 01, baker30
2016-07-17 03:36:00.360012, MBW EHZ UW 01, baker30
2016-10-06 00:54:06.510395, MBW EHZ UW 01, baker30
2010-08-29 02:31:20.251400, MBW EHZ UW 01, baker31
2010-08-30 00:37:13.930100, MBW EHZ UW 01, baker31
2010-09-06 01:16:49.320100, MBW EHZ UW 01, baker32
2010-09-06 01:43:25.470100, MBW EHZ UW 01, baker32
2010-09-16 14:18:35.281100, MBW EHZ UW 01, baker33
2010-09-16 14:19:47.031100, MBW EHZ UW 01, baker33
2010-09-16 22:15:56.500300, MBW EHZ UW 01, baker33
2010-09-17 08:57:01.830600, MBW EHZ UW 01, baker33
2011-02-12 12:18:20.211400, MBW EHZ UW 01, baker33
2013-01-14 12:03:20, MBW EHZ UW 01, baker33
2014-07-27 00:05:22.721395, MBW EHZ UW 01, baker33
2014-07-27 00:05:47.581395, MBW EHZ UW 01, baker33
2010-10-31 20:36:11.680500, MBW EHZ UW 01, baker34
2010-11-01 03:47:13.520000, MBW EHZ UW 01, baker34
2010-11-01 06:03:11.971100, MBW EHZ UW 01, baker34
2010-12-21 07:46:29.410100, MBW EHZ UW 01, baker34
2010-11-04 12:05:44.600800, MBW EHZ UW 01, baker35
2010-11-05 02:39:44.341700, MBW EHZ UW 01, baker35
2010-11-12 17:36:43.939100, MBW EHZ UW 01, baker36
2010-11-13 21:54:02.448800, MBW EHZ UW 01, baker36
2011-01-16 06:40:56.120100, MBW EHZ UW 01, baker37
2011-01-16 07:18:53.521300, MBW EHZ UW 01, baker37
2011-01-27 09:23:37.760100, MBW EHZ UW 01, baker38
2011-01-29 06:54:48.190700, MBW EHZ UW 01, baker38
2011-02-16 22:45:44.830900, MBW EHZ UW 01, baker38
2011-03-09 20:54:46.191400, MBW EHZ UW 01, baker38
2012-01-09 06:39:38.820000, MBW EHZ UW 01, baker38
2011-02-17 13:13:03.400300, MBW EHZ UW 01, baker39
2011-02-17 13:29:28.450300, MBW EHZ UW 01, baker39
2011-02-19 00:56:38.777300, MBW EHZ UW 01, baker40
2011-02-20 13:41:13.987600, MBW EHZ UW 01, baker40
2011-03-06 22:42:58.100900, MBW EHZ UW 01, baker41
2011-03-07 22:12:01.850800, MBW EHZ UW 01, baker41
2011-03-26 16:00:26.709900, MBW EHZ UW 01, baker42
2011-03-26 16:17:08.439900, MBW EHZ UW 01, baker42
2011-04-06 17:56:27.850700, MBW EHZ UW 01, baker43
2011-04-07 10:50:39.051000, MBW EHZ UW 01, baker43
2011-07-16 04:33:38.200000, MBW EHZ UW 01, baker44
2011-07-20 06:02:31.979900, MBW EHZ UW 01, baker44
2011-07-20 21:47:49.619900, MBW EHZ UW 01, baker44
2011-07-26 08:35:38.889900, MBW EHZ UW 01, baker44
2012-11-18 21:17:56.120000, MBW EHZ UW 01, baker44
2012-11-19 11:38:10.690000, MBW EHZ UW 01, baker44
2016-01-20 00:56:52.910252, MBW EHZ UW 01, baker44
2011-07-20 14:12:54.850000, MBW EHZ UW 01, baker45
2011-07-21 08:08:25.740000, MBW EHZ UW 01, baker45
2011-10-01 15:31:32.940000, MBW EHZ UW 01, baker46
2011-10-02 10:40:07.210000, MBW EHZ UW 01, baker46
2011-10-07 21:12:37.389900, MBW EHZ UW 01, baker47
2011-10-10 22:59:23.039900, MBW EHZ UW 01, baker47
2011-10-09 12:54:07.160000, MBW EHZ UW 01, baker48
2011-10-09 13:15:34.790000, MBW EHZ UW 01, baker48
2011-11-04 00:48:10.340000, MBW EHZ UW 01, baker49
2011-11-04 01:17:47.930000, MBW EHZ UW 01, baker49
2011-11-04 01:31:59.980000, MBW EHZ UW 01, baker49
2015-07-10 16:02:17.100001, MBW EHZ UW 01, baker49
2015-07-10 20:13:03.470207, MBW EHZ UW 01, baker49
2015-07-10 20:27:59.590207, MBW EHZ UW 01, baker49
