cluster_index,reftime
53,2012-02-03 02:45:03.240400
53,2012-02-03 21:46:05.680000
54,2012-02-06 05:24:12.090000
54,2012-02-06 05:54:20.880000
55,2012-03-29 20:01:15.810000
55,2012-03-29 20:10:15.730000
55,2012-03-29 20:13:33.660000
55,2012-03-29 21:14:09.180000
55,2012-03-29 22:25:06.200000
55,2012-04-01 20:30:12.740000
55,2012-04-03 21:40:22.570100
55,2012-04-19 16:36:32.550000
55,2012-04-19 17:52:00.138000
55,2012-04-21 13:11:34.341400
56,2012-04-19 01:58:02.181000
56,2012-04-22 01:59:11.150000
57,2012-05-01 23:21:07.239000
57,2012-05-01 23:34:52.619000
58,2012-06-17 21:19:35.430000
58,2012-06-21 22:58:51.490000
58,2012-06-24 21:12:21.330000
58,2012-06-27 21:24:57.870000
58,2012-07-20 21:14:57.660400
59,2012-07-01 21:25:11.406200
59,2012-07-05 21:17:26.891400
59,2012-08-29 17:23:48.270100
60,2012-07-04 04:00:20.979200
60,2012-07-05 11:22:06.313100
61,2012-07-29 20:57:08.480200
61,2012-07-29 22:46:27.950600
62,2012-08-19 23:59:31.381100
62,2012-08-23 08:38:13.411300
63,2012-08-31 19:16:15.379400
63,2012-08-31 22:23:41.330200
63,2012-09-01 13:25:41.880000
63,2012-09-11 13:29:48.561300
64,2012-09-03 08:44:53.970200
64,2012-09-03 15:29:23.841400
64,2012-09-03 19:25:35.700000
64,2012-09-04 09:17:20.950100
64,2012-09-04 09:27:05.580100
64,2012-09-06 12:39:16.840000
64,2022-06-17 23:19:15.930000
64,2022-06-18 01:14:11.590000
65,2012-09-20 13:29:13.320000
65,2012-09-20 23:11:33.260000
66,2012-10-02 13:29:26.030000
66,2012-10-02 21:33:48.060000
66,2012-10-04 06:17:59.760000
67,2012-10-02 17:12:18.580000
67,2012-10-02 17:17:05.830000
67,2012-10-02 18:52:34.720500
67,2012-10-03 08:04:29.500000
67,2012-10-05 21:11:32.080100
67,2012-10-05 22:12:12.980000
67,2012-10-06 00:42:54.421400
68,2012-10-02 20:59:51.050000
68,2012-10-03 07:41:47.110000
69,2012-10-07 16:27:04.350000
69,2012-10-07 16:31:10.400000
70,2012-10-13 16:49:47.651300
70,2012-10-13 17:00:08.651400
71,2012-10-13 21:14:38.510400
71,2012-10-14 04:26:04.310000
71,2012-10-14 09:53:18.509900
71,2012-10-15 18:19:41.220000
72,2012-10-22 13:48:43.391000
72,2012-10-24 09:17:17.660000
72,2012-11-04 22:30:00.240000
72,2012-11-04 23:07:30.291200
73,2012-10-23 18:56:39.640300
73,2012-10-23 19:50:30.310300
74,2012-11-09 04:35:14.460000
74,2012-11-10 12:07:22.710000
75,2012-11-11 07:33:50.650800
75,2012-11-14 21:29:31.660000
75,2012-11-15 01:41:38.980000
75,2012-11-17 03:53:38.827700
75,2014-11-12 13:46:45.040633
75,2014-11-18 14:38:35.660004
76,2012-11-13 12:13:19.050400
76,2012-11-14 11:10:37.770300
76,2012-12-16 14:05:48.399900
76,2012-12-24 09:48:34.300900
76,2012-12-28 13:30:25.230000
76,2012-12-30 09:37:57.220000
76,2013-01-02 21:28:22.050000
76,2013-01-02 22:38:54.510000
76,2013-01-04 02:27:01.810000
76,2013-01-19 19:39:23.311400
76,2013-03-19 00:56:22.620000
76,2013-04-04 04:22:55.780100
76,2013-05-23 14:38:05.640000
76,2013-05-31 16:18:26.870100
77,2012-11-15 00:03:57.060000
77,2012-11-15 00:27:08.910000
77,2012-12-12 22:11:41.480000
78,2012-11-23 21:39:21.130000
78,2012-11-25 01:35:53.021000
79,2012-11-24 03:59:39.200100
79,2012-11-24 19:50:06.060200
79,2013-01-19 19:40:10.521400
79,2013-02-14 05:16:45.421000
79,2013-02-18 02:40:45.090500
79,2013-02-18 02:49:46.900500
79,2013-03-06 20:19:19.261200
79,2014-05-25 21:06:13.840006
79,2014-05-26 09:28:26.441369
79,2014-05-28 03:33:24.630009
79,2014-08-16 11:58:37.140017
80,2012-11-25 04:36:07.700000
80,2012-11-25 04:39:14.540000
80,2012-11-26 21:43:11.300000
81,2012-12-15 20:55:57.430000
81,2012-12-15 21:14:37.620000
81,2012-12-16 15:56:58.130000
81,2012-12-16 23:15:23.450000
82,2013-01-03 01:48:09.261100
82,2013-01-07 05:16:41.200000
83,2013-01-06 04:50:21.421200
83,2013-01-06 06:31:22.241300
84,2013-01-07 15:58:25.530000
84,2013-01-08 15:54:11.420100
85,2013-01-26 15:10:17.440100
85,2013-01-29 03:43:58.160000
86,2013-02-08 22:20:44.950000
86,2013-02-09 00:05:21.280000
86,2013-05-07 23:53:16.371200
87,2013-03-29 11:00:04.230100
87,2013-03-29 23:29:19.809900
87,2013-10-24 07:13:23.820575
87,2014-12-07 13:09:20.970408
87,2015-05-01 22:24:27.110962
87,2016-08-07 09:44:47.080705
87,2018-07-06 12:44:49.240007
87,2022-06-14 05:43:51.090000
87,2022-07-17 08:00:12.240000
87,2022-08-03 01:56:16.490000
88,2013-03-31 08:51:27.880000
88,2013-04-03 16:13:44.260000
89,2013-05-21 08:38:15.649900
89,2013-05-21 11:24:34.320100
90,2013-06-21 04:36:00.530400
90,2013-06-21 05:19:11.920000
91,2013-06-27 05:46:36.140000
91,2013-06-29 01:21:39.250000
92,2013-06-27 05:47:01.360000
92,2013-06-29 01:22:04.470000
93,2013-07-12 14:25:49.371100
93,2013-07-13 06:50:40.720500
94,2013-07-27 15:01:29.900000
94,2013-07-30 08:09:32.940000
95,2013-08-23 13:24:58.350000
95,2013-08-23 17:39:25.881200
96,2013-08-23 21:39:41.330000
96,2013-08-24 01:09:14.210000
96,2013-08-24 01:13:54.230000
97,2013-09-11 18:14:01.570000
97,2013-09-11 20:02:44.840000
98,2013-09-14 07:15:41.550500
98,2013-09-14 07:43:22.760500
