evid,etype,remark,auth,calculated_distance_km,origin_time,lat,lon,depth,totalarr,no_defining_phases,no_S_phase,orig_quality,wrms,rflag,fixed_depth,fixed_epicenter,fixed_origin_time,origin_bogusflag,magnitude,magtype,mag_nsta,mag_nobs,mag_uncertainty,orid,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,azismall,dipsmall,magsmall,aziinter,dipinter,maginter,azilarge,diplarge,maglarge,lddate,subsource,version,lddate
10531448,px,UW2 Q1=D  Q2=D,UW,39.7800187243294,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,5,5,1,0.3,0.5,F,y,n,n,0,0.86,d,1,1,0,1466373,,,,,,,,,,,,,4.13,315,0,8.81,0,90,31.61,2013-08-23 21:39:15,UW2AQMS,8,2012-03-05 11:28:47
10531448,px,EVENT ID: 065273,UW,39.7800187243294,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,5,5,1,0.3,0.5,F,y,n,n,0,0.86,d,1,1,0,1466373,,,,,,,,,,,,,4.13,315,0,8.81,0,90,31.61,2013-08-23 21:39:15,UW2AQMS,8,2012-03-05 11:28:47
10531448,px,Vidale lp -> blast,UW,39.7800187243294,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,5,5,1,0.3,0.5,F,y,n,n,0,0.86,d,1,1,0,1466373,,,,,,,,,,,,,4.13,315,0,8.81,0,90,31.61,2013-08-23 21:39:15,UW2AQMS,8,2012-03-05 11:28:47
10531448,px,2 triggered subnets: 6 7,UW,39.7800187243294,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,5,5,1,0.3,0.5,F,y,n,n,0,0.86,d,1,1,0,1466373,,,,,,,,,,,,,4.13,315,0,8.81,0,90,31.61,2013-08-23 21:39:15,UW2AQMS,8,2012-03-05 11:28:47
10554518,lf,EVENT ID: 035758,UW,5.300827897325765,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,7,7,4,0.8,0.24,F,n,n,n,0,0.65,d,2,2,0.13,1248923,,,,,,,,,,,,,0.77,254,2,1.64,351,66,2.66,2012-09-03 16:03:17,UW2AQMS,5,2012-03-05 12:44:58
10554518,lf,2 triggered subnets: 6 7,UW,5.300827897325765,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,7,7,4,0.8,0.24,F,n,n,n,0,0.65,d,2,2,0.13,1248923,,,,,,,,,,,,,0.77,254,2,1.64,351,66,2.66,2012-09-03 16:03:17,UW2AQMS,5,2012-03-05 12:44:58
10554518,lf,UW2 Q1=A  Q2=D,UW,5.300827897325765,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,7,7,4,0.8,0.24,F,n,n,n,0,0.65,d,2,2,0.13,1248923,,,,,,,,,,,,,0.77,254,2,1.64,351,66,2.66,2012-09-03 16:03:17,UW2AQMS,5,2012-03-05 12:44:58
10554518,lf,"NEAR:      5.6 km  SE of Mt Baker, WA",UW,5.300827897325765,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,7,7,4,0.8,0.24,F,n,n,n,0,0.65,d,2,2,0.13,1248923,,,,,,,,,,,,,0.77,254,2,1.64,351,66,2.66,2012-09-03 16:03:17,UW2AQMS,5,2012-03-05 12:44:58
10613268,lf,strange picking issues,UW,24.95215892215075,2004-05-28 11:01:21.23-07,48.6041667,-122.0385,-0.98,12,12,6,1,0.36,F,n,n,n,0,1.1,d,3,3,0.05,2466063,,,,,,,,,,,,,0.52,97,3,0.84,253,86,1.47,2016-05-18 00:59:08,UW2AQMS,5,2012-03-05 15:40:31
10626713,lf,3 triggered subnets: 6 7 19,UW,4.228918405282933,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,8,8,4,0.5,0.48,F,y,y,n,0,1.34,d,2,2,0.535,2466068,,,,,,,,,,,,,1.16,211,0,2.91,0,90,31.61,2016-05-18 01:10:34,UW2AQMS,5,2012-03-05 16:13:43
10626713,lf,EVENT ID: 027209,UW,4.228918405282933,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,8,8,4,0.5,0.48,F,y,y,n,0,1.34,d,2,2,0.535,2466068,,,,,,,,,,,,,1.16,211,0,2.91,0,90,31.61,2016-05-18 01:10:34,UW2AQMS,5,2012-03-05 16:13:43
10626713,lf,"NEAR:      4.5 km SSE of Mt Baker, WA",UW,4.228918405282933,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,8,8,4,0.5,0.48,F,y,y,n,0,1.34,d,2,2,0.535,2466068,,,,,,,,,,,,,1.16,211,0,2.91,0,90,31.61,2016-05-18 01:10:34,UW2AQMS,5,2012-03-05 16:13:43
10626713,lf,UW2 Q1=C  Q2=D,UW,4.228918405282933,2005-02-08 17:07:41.25-08,48.7376667,-121.8028333,-0.71,8,8,4,0.5,0.48,F,y,y,n,0,1.34,d,2,2,0.535,2466068,,,,,,,,,,,,,1.16,211,0,2.91,0,90,31.61,2016-05-18 01:10:34,UW2AQMS,5,2012-03-05 16:13:43
10627123,lf,2 triggered subnets: 6 7,UW,6.515918175072521,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,6,5,2,0.5,0.03,F,y,y,n,0,1.15,d,3,3,0.366,2466073,,,,,,,,,,,,,0.49,184,0,0.81,0,90,31.61,2016-05-18 01:12:22,UW2AQMS,5,2012-03-05 16:14:25
10627123,lf,"NEAR:      6.7 km SSW of Mt Baker, WA",UW,6.515918175072521,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,6,5,2,0.5,0.03,F,y,y,n,0,1.15,d,3,3,0.366,2466073,,,,,,,,,,,,,0.49,184,0,0.81,0,90,31.61,2016-05-18 01:12:22,UW2AQMS,5,2012-03-05 16:14:25
10627123,lf,UW2 Q1=B  Q2=D,UW,6.515918175072521,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,6,5,2,0.5,0.03,F,y,y,n,0,1.15,d,3,3,0.366,2466073,,,,,,,,,,,,,0.49,184,0,0.81,0,90,31.61,2016-05-18 01:12:22,UW2AQMS,5,2012-03-05 16:14:25
10627123,lf,EVENT ID: 027221,UW,6.515918175072521,2005-02-09 04:13:01.5-08,48.7178333,-121.8398333,-0.94,6,5,2,0.5,0.03,F,y,y,n,0,1.15,d,3,3,0.366,2466073,,,,,,,,,,,,,0.49,184,0,0.81,0,90,31.61,2016-05-18 01:12:22,UW2AQMS,5,2012-03-05 16:14:25
10660283,lf,EVENT ID: 051437,UW,3.8276514454602886,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,10,9,3,0.8,0.24,F,n,n,n,0,1.49,l,4,4,0.411,2466108,,,,,,,,,,,,,0.8,273,60,1.42,51,23,1.93,2016-05-18 01:27:43,UW2AQMS,5,2012-03-05 17:24:33
10660283,lf,UW2 Q1=B  Q2=D,UW,3.8276514454602886,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,10,9,3,0.8,0.24,F,n,n,n,0,1.49,l,4,4,0.411,2466108,,,,,,,,,,,,,0.8,273,60,1.42,51,23,1.93,2016-05-18 01:27:43,UW2AQMS,5,2012-03-05 17:24:33
10660283,lf,4 triggered subnets: 6 7 19 25,UW,3.8276514454602886,2005-07-07 14:17:21.389999-07,48.7823333,-121.7663333,23.93,10,9,3,0.8,0.24,F,n,n,n,0,1.49,l,4,4,0.411,2466108,,,,,,,,,,,,,0.8,273,60,1.42,51,23,1.93,2016-05-18 01:27:43,UW2AQMS,5,2012-03-05 17:24:33
