evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,mbs_distance_km,distance,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10835733,uk,1,2,1033538,DNAG card: EPB   196910 2111743.00   48.800-121.700 18.0 29  20.00.02.50MLEPB  0,899953,2.5,d,,0,0,1156248,UW,UW2AQMS,1969-10-02 04:17:43-07,48.7998333,-121.6998333,18,9.04814637274832,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835913,uk,1,2,1033718,LON(Yelin),900133,4.6,d,,0,0,1156428,UW,UW2AQMS,1969-11-09 23:38:44.7-08,48.5498333,-121.51,33,33.66199297563324,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835913,uk,1,2,1033718,ML from Newport and Victoria (Yelin).,900133,4.6,d,,0,0,1156428,UW,UW2AQMS,1969-11-09 23:38:44.7-08,48.5498333,-121.51,33,33.66199297563324,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835913,uk,1,2,1033718,DNAG card: ISC   19691110 73844.70   48.550-121.510 33.0   54    0        5.10MC,900133,4.6,d,,0,0,1156428,UW,UW2AQMS,1969-11-09 23:38:44.7-08,48.5498333,-121.51,33,33.66199297563324,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835913,uk,1,2,1033718,UW2 Q1=-  Q2=-,900133,4.6,d,,0,0,1156428,UW,UW2AQMS,1969-11-09 23:38:44.7-08,48.5498333,-121.51,33,33.66199297563324,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10852948,eq,1,3,1054688,UW2 Q1=B  Q2=D,921743,2.8,d,0.07,6,6,1178988,UW,UW2AQMS,1972-04-19 02:16:04.51-08,48.7416667,-122.1273333,-0.762,23.025315396775596,62,1,0.16,0.655,0.88,0.18,0.63,0,y,n,n,,,,,,,,,,,,,,,,,,,
10853018,eq,1,3,1054758,UW2 Q1=B  Q2=D,921813,2.4,d,0.07,7,7,1179058,UW,UW2AQMS,1972-04-23 20:09:59.62-08,48.6711667,-122.207,14.071,30.81617539543825,56,0.8,0.25,1.775,2.35,0.9,1.53,0,y,y,n,,,,,,,,,,,,,,,,,,,
10853073,eq,1,3,1054813,UW2 Q1=D  Q2=D,921868,2.2,d,0.07,5,5,1179113,UW,UW2AQMS,1972-04-29 13:02:27.9-08,48.5376667,-122.3431667,-0.569,46.75537215282228,49,0.5,0.31,9.08,12.63,1.2,9,0,n,n,n,,,,,,,,,,,,,,,,,,,
10853163,eq,1,3,1054903,UW2 Q1=D  Q2=D,921958,2.9,d,0.12,3,3,1179203,UW,UW2AQMS,1972-05-20 09:32:16.93-07,48.6298333,-122.4021667,17.541,45.84299912356737,59,0.5,0.28,7.506,13.36,5.9,4.64,0,y,y,n,,,,,,,,,,,,,,,,,,,
10853168,eq,1,3,1054908,UW2 Q1=C  Q2=D,921963,2.8,d,0.06,3,3,1179208,UW,UW2AQMS,1972-05-20 12:56:17.37-07,48.6628333,-122.3776667,13.811,42.95058278770175,61,0.5,0.19,3.292,3.46,1.24,3.05,0,n,n,n,,,,,,,,,,,,,,,,,,,
10854393,eq,1,3,1056133,UW2 Q1=B  Q2=D,923128,2.7,d,0.07,5,5,1180433,UW,UW2AQMS,1972-10-10 04:26:54.75-07,48.4996667,-122.2856667,19.651,46.031057556551914,43,0.8,0.22,2.217,2.08,0.82,2.06,0,y,y,n,,,,,,,,,,,,,,,,,,,
10854468,eq,1,3,1056208,UW2 Q1=B  Q2=D,923203,3,d,0.07,5,5,1180508,UW,UW2AQMS,1972-10-16 15:08:33.76-07,48.821,-122.1306667,11.328,23.535225647296954,71,0.5,0.28,2.23,3.02,1.33,1.79,0,n,n,n,,,,,,,,,,,,,,,,,,,
10854683,eq,1,3,1056423,UW2 Q1=B  Q2=D,923413,2.1,d,0.09,2,2,1180723,UW,UW2AQMS,1972-10-30 12:28:42.22-08,48.626,-122.3445,24.811,42.07334113026796,57,0.8,0.21,1.62,2.35,0.78,1.42,0,n,n,n,,,,,,,,,,,,,,,,,,,
10854903,eq,1,3,1056643,UW2 Q1=C  Q2=C,923633,2.4,d,0.13,5,5,1180943,UW,UW2AQMS,1972-11-22 04:38:28.04-08,48.7011667,-122.1555,16.883,26.114487731937096,20,0.5,0.37,3.128,8.78,2.12,2.3,0,n,n,n,,,,,,,,,,,,,,,,,,,
10854908,eq,1,3,1056648,UW2 Q1=C  Q2=D,923638,2,d,0.14,3,3,1180948,UW,UW2AQMS,1972-11-22 05:58:51.61-08,48.6973333,-122.1466667,16.943,25.64025767245064,20,0.5,0.4,3.445,8.7,2.5,2.37,0,y,y,n,,,,,,,,,,,,,,,,,,,
10855023,eq,1,3,1056763,UW2 Q1=C  Q2=C,923753,2.4,d,0.15,5,5,1181063,UW,UW2AQMS,1972-11-29 01:13:54.82-08,48.6763333,-122.166,8.503,27.816299232808394,22,0.5,0.2,1.097,6.52,0.75,0.8,0,y,y,n,,,,,,,,,,,,,,,,,,,
10855128,eq,1,3,1056868,UW2 Q1=B  Q2=D,923838,2.1,d,0.13,3,3,1181168,UW,UW2AQMS,1972-12-02 08:29:09.27-08,48.4823333,-122.2556667,21.663,45.758346654460695,40,0.5,0.16,1.173,4.33,0.97,0.66,0,n,n,n,,,,,,,,,,,,,,,,,,,
10855243,eq,1,3,1056983,UW2 Q1=D  Q2=D,923953,2.7,d,0.09,5,5,1181283,UW,UW2AQMS,1972-12-09 05:14:39.35-08,48.8061667,-122.133,7.506,23.40099009267531,17,0.5,0.32,25.589,40.86,10.31,23.42,0,y,y,y,,,,,,,,,,,,,,,,,,,
