evid,etype,uw_evid
10423488,eq,uw10423488
10428928,eq,uw10428928
10429263,px,uw10429263
10427968,eq,uw10427968
10429683,eq,uw10429683
10437623,eq,uw10437623
10432513,eq,uw10432513
10434103,eq,uw10434103
10434738,eq,uw10434738
10432193,eq,uw10432193
10435148,lf,uw10435148
10436733,eq,uw10436733
10437053,eq,uw10437053
10433213,eq,uw10433213
10436258,px,uw10436258
10442073,eq,uw10442073
10442113,eq,uw10442113
10442143,eq,uw10442143
10442178,eq,uw10442178
10442468,eq,uw10442468
10446378,eq,uw10446378
10448233,eq,uw10448233
10441758,eq,uw10441758
10458183,eq,uw10458183
10460908,eq,uw10460908
10464248,eq,uw10464248
10468203,eq,uw10468203
10442858,eq,uw10442858
10448513,eq,uw10448513
