evid,orid,lat,lon,depth,datetime,etype,separation_km
10261138,538083,48.8401667,-122.1661667,-1.01,640675783.13,eq,26.652750898049998
10261163,538108,48.8301667,-122.1583333,2.971,640704796.44,eq,25.81321958139
10261533,538478,48.8685,-122.1655,0.46,640745235.85,eq,27.630386804
10261558,538503,48.8591667,-122.163,0.78,640748138.51,eq,27.08465556243
10262053,538998,48.8315,-122.175,13.812,640853496.68,eq,27.03747164778
10262123,539068,48.8568333,-122.1466667,10.872,640859296.99,eq,25.870859363690002
10262833,539778,48.8201667,-122.1771667,0.621,641063142.7,eq,26.929266818669998
10254733,531678,48.8406667,-122.165,1.111,641643687.89,eq,26.585556100810003
10255713,532658,48.8613333,-122.1531667,1.593,641890414.46,eq,26.49509860634
10255903,532848,48.8283333,-122.1586667,-1.02,642042796.38,eq,25.78935155721
10256268,533213,48.819,-122.1825,6.392,642162308.22,eq,27.29064433717
10256998,533943,48.8291667,-122.1576667,1.772,642350354.97,eq,25.73943200207
10258073,535018,48.8121667,-122.1585,-1,642694099.84,eq,25.42410441081
10258103,535048,48.7988333,-122.1548333,-0.99,642695718.66,eq,24.95768304484
10258243,535188,48.8135,-122.1635,-1.01,642759179.5,eq,25.81069171411
10258678,535623,48.8326667,-122.1128333,0.15,642882325.4,eq,22.65979821211
10259063,536008,48.8245,-122.1923333,2.902,642987610.59,eq,28.11447682563
10259228,536173,48.8308333,-122.1413333,3.612,643060824.3,eq,24.62125808906
10259383,536328,48.8255,-122.1876667,0.641,643111983.97,eq,27.8007085042
10260323,537268,48.8343333,-122.1836667,1.08,643347502.84,eq,27.7299579917
10260563,537508,48.8273333,-122.1943333,1.121,643424562.64,eq,28.3214372389
10261898,538843,48.8186667,-122.1611667,-0.863,643671523.57,eq,25.743847827729997
10257938,534883,48.8246667,-122.147,11.072,644703519.26,eq,24.862697702469998
10259108,536053,48.8735,-122.164,0.233,645164512.28,eq,27.743205242520002
10259808,536753,48.864,-122.1635,0.45,645416492.72,eq,27.3092138797
10262208,539153,48.8595,-121.8963333,1.502,645934326.49,eq,11.096118965850001
10262313,539258,48.8383333,-122.1531667,0.731,645943812.13,eq,25.67905140601
10262413,539358,48.7915,-122.171,-1,645946586.1,eq,26.06907257896
10262438,539383,48.8341667,-122.167,5.041,645948808.53,eq,26.53845777201
10262613,539558,48.828,-122.195,-1,646026719.4,eq,28.384618752239998
10262808,539753,48.5511667,-121.9153333,-1.02,646092474.02,eq,25.8660611957
10263648,540593,48.7401667,-122.1058333,2.87,646274243.65,eq,21.56292447599
10264443,541388,48.8198333,-122.1788333,0.521,646565752.83,eq,27.04267170471
10264483,541428,48.9188333,-122.1586667,8.917,646584505.59,eq,29.76151164088
10265118,542063,48.6106667,-121.962,-1,646717311.13,eq,21.10852563188
10259583,536528,48.8215,-122.1733333,0.412,646907065.92,eq,26.681049160580002
10259603,536548,48.8153333,-122.1655,1.401,646907302.17,eq,25.98994411312
10260223,537168,48.8426667,-122.1821667,0.461,647092217.54,eq,27.85861683475
10260478,537423,48.8368333,-122.1951667,2.841,647147205.09,eq,28.6161601939
10261193,1248948,48.7016667,-121.7726667,25.932,647451622.81,lf,8.73670907558
10261443,538388,48.8548333,-122.1876667,0.36,647532001.81,eq,28.63720779936
10262693,1248953,48.7171667,-121.8173333,17.062,648054643.6199989,lf,6.37574631452
10263113,540058,48.8173333,-122.1796667,-0.249,648169758.26,eq,27.05314708928
10264758,541703,48.8121667,-122.1701667,0.631,648808199.3,eq,26.26996742891
