Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
UW,BLS,48.572498,-121.666672,1341.0,Lake Shannon Mt. Baker WA USA,1985-03-01T00:00:00,1985-09-15T00:00:00
UW,BOOK,48.01182,-122.523744,40.9,Freeland WA USA,2021-01-14T00:00:00,2599-12-31T23:59:59
UW,CHIMA,48.01051,-122.78058,38.4,Chimacum High School Chimacum WA USA,2021-05-12T00:00:00,2599-12-31T23:59:59
UW,CMW,48.423519,-122.120262,1190.0,Cultus Mtns.,1986-06-03T00:00:00,2019-11-21T00:00:00
UW,CONW,48.33963,-122.31873,22.5,Conway School Mount Vernon WA USA,2021-08-25T00:00:00,2599-12-31T23:59:59
UW,CUGR,48.1427,-122.21714,57.6,Cougar Creek Elementary School Arlington WA USA,2020-08-06T00:00:00,2599-12-31T23:59:59
UW,CWFG,48.0923,-122.58246,92.7,Central Whidbey Island Fire Greenbank WA USA,2020-04-12T00:00:00,2599-12-31T23:59:59
UW,DART,48.24334,-121.60411,176.3,Darrington WA USA,2023-02-09T00:00:00,2599-12-31T23:59:59
UW,DLTA,48.93608,-122.57398,23.4,Ferndale WA USA,2021-01-19T00:00:00,2599-12-31T23:59:59
UW,DMNG,48.82545,-122.21451,62.8,Deming WA USA,2021-08-05T00:00:00,2599-12-31T23:59:59
UW,DONK,48.42384,-122.15673,892.8,Steam Donkey WA USA,2019-08-29T00:00:00,2599-12-31T23:59:59
UW,EDSN,48.56202,-122.43611,3.1,Edison Elementary School Bow WA USA,2020-08-05T00:00:00,2599-12-31T23:59:59
UW,ELGR,48.145155,-122.46761,55.8,Elger Bay Elementary School Camano WA USA,2020-05-28T00:00:00,2599-12-31T23:59:59
UW,ERIE,48.42941,-122.60657,26.8,Fidalgo Island WA USA,2020-08-06T00:00:00,2599-12-31T23:59:59
UW,ERW,48.453827,-122.626121,387.0,Mt. Erie WA USA,1997-12-01T00:00:00,2599-12-31T23:59:59
UW,EVCC,48.006317,-122.20365,38.0,Everett Community College Everett WA USA,2001-08-28T00:00:00,2599-12-31T23:59:59
UW,EVGW,47.85422,-122.15462,152.4,Everett Gateway Middle School Everett WA USA,2001-07-01T00:00:00,2599-12-31T23:59:59
UW,GPW,48.1179,-121.1379,2354.0,Glacier Peak WA USA,2001-09-01T00:00:00,2599-12-31T23:59:59
UW,GRNT,48.08761,-121.96209,129.1,Granite Falls Middle School Granite Falls WA USA,2021-08-26T00:00:00,2599-12-31T23:59:59
UW,GUEM,48.54667,-122.63014,52.5,Guemes Island WA USA,2021-04-23T00:00:00,2599-12-31T23:59:59
UW,HANS,47.90736,-122.56941,77.5,Far Echo Farms Hansville WA USA,2021-05-14T00:00:00,2599-12-31T23:59:59
UW,HFMN,48.8846,-122.70077,67.6,Ferndale WA USA,2020-11-20T00:00:00,2599-12-31T23:59:59
UW,HILL,48.38806,-122.44702,38.1,La Conner WA USA,2020-08-27T00:00:00,2599-12-31T23:59:59
UW,HTW,47.80377,-121.76887,833.0,Haystack Lookout WA USA,1975-06-01T00:00:00,2599-12-31T23:59:59
UW,JCW,48.195332,-121.92746,792.0,Jim Creek,1971-02-01T00:00:00,2599-12-31T23:59:59
UW,LARL,48.85949,-122.48445,26.8,Bellingham WA USA,2021-01-13T00:00:00,2599-12-31T23:59:59
UW,LOPEZ,48.43658,-122.88702,10.5,Johns Point Lopez Island WA USA,2021-10-20T00:00:00,2599-12-31T23:59:59
UW,LUMI,48.7201,-122.7063,19.4,Lummi Island WA USA,2018-04-19T00:00:00,2599-12-31T23:59:59
UW,LYNC,47.82555,-122.29384,132.0,Lynnwood City Hall Lynnwood WA USA,2005-02-08T00:00:00,2599-12-31T23:59:59
